,city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
0,Srednekolymsk,67.45,153.68,12.61,91,21,5.23,RU,1603313661
1,Montevideo,-34.83,-56.17,60.39,67,36,17.22,UY,1603313817
2,Hilo,19.73,-155.09,79.99,51,1,3.36,US,1603313870
3,Ixtapa,20.7,-105.2,88.9,79,20,11.41,MX,1603313353
4,Pascagoula,30.37,-88.56,86.65,52,75,10.29,US,1603313872
5,New Norfolk,-42.78,147.06,49.21,89,96,2.06,AU,1603313874
6,Vardø,70.37,31.11,30.2,92,75,8.05,NO,1603313807
7,Hobart,-42.88,147.33,51.33,87,75,3.36,AU,1603313596
8,Luanda,-8.84,13.23,76.01,83,84,11.56,AO,1603313877
9,Rikitea,-23.12,-134.97,73.85,69,50,7.63,PF,1603313879
10,Soyo,-6.13,12.37,77.47,84,100,8.1,AO,1603313880
11,Ushuaia,-54.8,-68.3,53.6,50,40,6.93,AR,1603313882
12,Castro,-24.79,-50.01,70.36,72,12,8.59,BR,1603313669
13,Tutóia,-2.76,-42.27,80.51,77,31,14.52,BR,1603313885
14,Upernavik,72.79,-56.15,26.49,95,94,6.71,GL,1603313886
15,Beringovskiy,63.05,179.32,39.88,80,88,9.08,RU,1603313887
16,Almaznyy,48.04,40.05,44.6,70,100,2.24,RU,1603313888
17,Cabo San Lucas,22.89,-109.91,91.85,49,5,3.36,MX,1603313890
18,São Gabriel da Cachoeira,-0.13,-67.09,88.54,62,88,1.14,BR,1603313891
19,Kapaa,22.08,-159.32,78.67,74,20,5.82,US,1603313892
20,Tura,25.52,90.22,70.34,94,7,1.59,IN,1603313893
21,Abalak,58.13,68.59,31.98,98,71,6.89,RU,1603313895
22,Longyearbyen,78.22,15.64,17.6,78,20,6.93,SJ,1603313896
23,Wenzhou,28.0,120.67,68.0,72,100,6.06,CN,1603313897
24,Severo-Kuril'sk,50.68,156.12,41.41,71,84,17.05,RU,1603313591
25,Naze,28.37,129.48,77.0,88,20,5.82,JP,1603313575
26,Busselton,-33.65,115.33,46.08,74,1,11.01,AU,1603313901
27,Lorengau,-2.02,147.27,81.61,78,95,8.55,PG,1603313902
28,Inverell,-29.78,151.12,56.89,94,100,1.99,AU,1603313903
29,Mataura,-46.19,168.86,53.01,70,98,1.99,NZ,1603313905
30,Thompson,55.74,-97.86,30.2,63,90,5.82,CA,1603313906
31,Honningsvåg,70.98,25.97,33.8,80,40,14.99,NO,1603313907
32,Butaritari,3.07,172.79,82.15,73,12,10.25,KI,1603313908
33,Aliwal North,-30.69,26.71,63.34,50,89,4.99,ZA,1603313647
34,Al Bardīyah,31.76,25.09,67.53,65,0,8.14,LY,1603313746
35,Raja,8.46,25.68,72.52,88,78,2.3,SS,1603313915
36,Punta Arenas,-53.15,-70.92,48.11,49,90,6.93,CL,1603313810
37,Caravelas,-17.71,-39.25,75.69,77,100,6.76,BR,1603313918
